ext	ksh	
ext	kt	
ext	kts	
ext	latex	
ext	lbr	
ext	lck	
ext	ldb	
ext	leex	
ext	less	
ext	lff	
ext	lhs	
ext	lib	
ext	license	
ext	lisp	󰅲
ext	localized	
ext	lock	
ext	log	
ext	lpp	
ext	lrc	󰨖
ext	ltx	
ext	lua	
ext	luac	
ext	luau	
ext	lz	
ext	lz4	
ext	lzh	
ext	lzma	
ext	lzo	
ext	m	
ext	m2ts	
ext	m2v	
ext	m3u	󰲹
ext	m3u8	󰲹
ext	m4a	
ext	m4v	
ext	magnet	
ext	markdown	
ext	md	
ext	md5	󰕥
ext	mdb	
ext	mdx	
ext	mid	󰣲
ext	mjs	
ext	mk	
ext	mka	
ext	mkd	
ext	mkv	
ext	ml	
ext	mli	
ext	mll	
ext	mly	
ext	mm	
ext	mo	󰗊
ext	mobi	
ext	mov	
ext	mp2	
ext	mp3	
ext	mp4	
ext	mpeg	
ext	mpg	
ext	msf	
ext	msi	
ext	mts	
ext	mustache	
ext	nef	
ext	nfo	
ext	nim	
ext	nimble	
ext	nims	
ext	ninja	󰝴
ext	nix	
ext	node	
ext	norg	
ext	nsp	󰟡
ext	nu	
ext	o	
ext	obj	󰆧
ext	odb	
ext	odf	
ext	odg	
ext	odp	
ext	ods	
ext	odt	
ext	ogg	
ext	ogm	
ext	ogv	
ext	opam	󰘧
ext	opml	󰗀
ext	opus	
ext	orf	
ext	org	
ext	otf	
ext	out	
ext	p12	
ext	par	
ext	part	󰇚
ext	patch	
ext	pbm	
ext	pcbdoc	
ext	pcm	
ext	pdf	
ext	pem	
ext	pfx	
ext	pgm	
ext	phar	
ext	php	
ext	pkg	
ext	pl	
ext	plist	
ext	pls	󰲹
ext	plx	
ext	ply	󰆧
ext	pm	
ext	png	
ext	pnm	
ext	po	󰗊
ext	pod	
ext	pot	󰗊
ext	pp	
ext	ppm	
ext	pps	
ext	ppsx	
ext	ppt	
ext	pptx	
ext	prjpcb	
ext	procfile	
ext	properties	
ext	prql	
ext	ps	󰕙
ext	ps1	
ext	psb	
ext	psd	
ext	psd1	
ext	psf	
ext	psm	󰻫
ext	psm1	
ext	pub	󰷖
ext	purs	
ext	pxd	
ext	pxm	
ext	py	
ext	pyc	
ext	pyd	
ext	pyi	
ext	pyo	
ext	pyw	
ext	pyx	
ext	qcow	
ext	qcow2	
ext	qm	󰗊
ext	qml	
ext	qrc	
ext	qss	
ext	r	
ext	rake	
ext	rakefile	
ext	rar	
ext	raw	
ext	razor	
ext	rb	
ext	rdata	
ext	rdb	
ext	rdoc	
ext	rds	
ext	readme	󰂺
ext	rkt	
ext	rlib	
ext	rmd	
ext	rmeta	
ext	rpm	
ext	rs	
ext	rspec	
ext	rspec_parallel	
ext	rspec_status	
ext	rss	
ext	rst	
ext	rtf	
ext	ru	
ext	rubydoc	
ext	s	
ext	s3db	
ext	sal	󱑻
ext	sass	
ext	sbt	󰨖
ext	scad	
ext	scala	
ext	scm	
ext	sch	󰭅
ext	schdoc	󰭅
ext	scss	
ext	service	
ext	sf2	󰽰
ext	sfz	󰽰
ext	sh	
ext	sha1	󰕥
ext	sha224	󰕥
ext	sha256	󰕥
ext	sha384	󰕥
ext	sha512	󰕥
ext	shell	
ext	shtml	
ext	sig	󱧃
ext	signature	󱧃
ext	sld	
ext	skp	󰻫
ext	sl3	
ext	sldasm	󰻫
ext	sldprt	󰻫
ext	slim	
ext	sln	
ext	slvs	󰻫
ext	so	
ext	sql	
ext	sqlite	
ext	sqlite3	
ext	sr	󱑻
ext	srt	󰨖
ext	ss	
ext	ssa	󰨖
ext	stl	󰆧
ext	ste	󰻫
ext	step	󰻫
ext	stp	󰻫
ext	sty	
ext	styl	
ext	stylus	
ext	sub	󰨖
ext	sublime-build	
ext	sublime-keymap	
ext	sublime-menu	
ext	sublime-options	
ext	sublime-package	
ext	sublime-project	
ext	sublime-session	
ext	sublime-settings	
ext	sublime-snippet	
ext	sublime-theme	
ext	suo	
ext	svelte	
ext	sv	󰍛
ext	svg	󰕙
ext	svh	󰍛
ext	swf	
ext	swift	
ext	t	
ext	tbc	󰛓
ext	tar	
ext	taz	
ext	tbz	
ext	tbz2	
ext	tc	
ext	tcl	󰛓
ext	tex	
ext	tf	󱁢
ext	tfstate	󱁢
ext	tfvars	󱁢
ext	tgz	
ext	tif	
ext	tiff	
ext	tlz	
ext	tml	
ext	tmux	
ext	toml	
ext	torrent	
ext	tres	
ext	ts	
ext	tscn	
ext	tsv	
ext	tsx	
ext	ttc	
ext	ttf	
ext	twig	
ext	txt	
ext	typ	
ext	txz	
ext	tz	
ext	tzo	
ext	ui	
ext	unity	
ext	unity3d	
ext	v	
ext	vala	
ext	vdi	
ext	vhd	
ext	vhs	󰨛
ext	vi	
ext	vhdl	󰍛
ext	video	
ext	vim	
ext	vmdk	
ext	vob	
ext	vsix	󰨞
ext	vue	󰡄
ext	war	
ext	wav	
ext	webm	
ext	webmanifest	
ext	webp	
ext	whl	
ext	windows	
ext	wma	
ext	wmv	
ext	woff	
ext	woff2	
ext	wrl	󰆧
ext	wrz	󰆧
ext	wv	
ext	xaml	󰙳
ext	xcf	
ext	xci	󰟡
ext	xcplayground	
ext	xhtml	
ext	xlr	
ext	xls	
ext	xlsm	
ext	xlsx	
ext	xml	󰗀
ext	xpi	
ext	xpm	
ext	xul	󰗀
ext	xz	
ext	x_b	󰻫
ext	x_t	󰻫
ext	yaml	
ext	yml	
ext	z	
ext	zig	
ext	zip	
ext	zsh	
ext	zsh-theme	󱆃
ext	zst	
ext	z64	󱎓
