:+1:	👍
:boomerang:	🪃
:boot:	👢
:bosnia_herzegovina:	🇧🇦
:botswana:	🇧🇼
:bottle_with_popping_cork:	🍾
:bouncing_ball_man:	⛹️‍♂️
:bouncing_ball_person:	⛹️
:bouncing_ball_woman:	⛹️‍♀️
:bouquet:	💐
:bouvet_island:	🇧🇻
:bow:	🙇
:bow_and_arrow:	🏹
:bowing_man:	🙇‍♂️
:bowing_woman:	🙇‍♀️
:bowl_with_spoon:	🥣
:bowling:	🎳
:boxing_glove:	🥊
:boy:	👦
:boy_tone1:	👦🏻
:boy_tone2:	👦🏼
:boy_tone3:	👦🏽
:boy_tone4:	👦🏾
:boy_tone5:	👦🏿
:brain:	🧠
:brazil:	🇧🇷
:bread:	🍞
:breast-feeding:	🤱
:breast_feeding:	🤱
:breast_feeding_tone1:	🤱🏻
:breast_feeding_tone2:	🤱🏼
:breast_feeding_tone3:	🤱🏽
:breast_feeding_tone4:	🤱🏾
:breast_feeding_tone5:	🤱🏿
:brick:	🧱
:bricks:	🧱
:bride_with_veil:	👰
:bride_with_veil_tone1:	👰🏻
:bride_with_veil_tone2:	👰🏼
:bride_with_veil_tone3:	👰🏽
:bride_with_veil_tone4:	👰🏾
:bride_with_veil_tone5:	👰🏿
:bridge_at_night:	🌉
:briefcase:	💼
:briefs:	🩲
:bright_button:	🔆
:british_indian_ocean_territory:	🇮🇴
:british_virgin_islands:	🇻🇬
:broccoli:	🥦
:broken_chain:	⛓️‍💥
:broken_heart:	💔
:broom:	🧹
:brown_circle:	🟤
:brown_heart:	🤎
:brown_mushroom:	🍄‍🟫
:brown_square:	🟫
:brunei:	🇧🇳
:bubble_tea:	🧋
:bubbles:	🫧
:bucket:	🪣
:bug:	🐛
:building_construction:	🏗️
:bulb:	💡
:bulgaria:	🇧🇬
:bullet_train:	🚅
:bullettrain_front:	🚅
:bullettrain_side:	🚄
:bullseye:	🎯
:burkina_faso:	🇧🇫
:burrito:	🌯
:burundi:	🇧🇮
:bus:	🚌
:bus_stop:	🚏
:business_suit_levitating:	🕴️
:busstop:	🚏
:bust_in_silhouette:	👤
:busts_in_silhouette:	👥
:butter:	🧈
:butterfly:	🦋
:cactus:	🌵
:cake:	🍰
:calendar:	📆
:calendar_spiral:	🗓
:call_me:	🤙
:call_me_hand:	🤙
:call_me_tone1:	🤙🏻
:call_me_tone2:	🤙🏼
:call_me_tone3:	🤙🏽
:call_me_tone4:	🤙🏾
:call_me_tone5:	🤙🏿
:calling:	📲
:cambodia:	🇰🇭
:camel:	🐫
:camera:	📷
:camera_flash:	📸
:camera_with_flash:	📸
:cameroon:	🇨🇲
:camping:	🏕️
:canada:	🇨🇦
:canary_islands:	🇮🇨
:cancer:	♋
:candle:	🕯️
:candy:	🍬
:canned_food:	🥫
:canoe:	🛶
:cape_verde:	🇨🇻
:capital_abcd:	🔠
:capricorn:	♑
:car:	🚗
:card_box:	🗃
:card_file_box:	🗃️
:card_index:	📇
:card_index_dividers:	🗂️
:caribbean_netherlands:	🇧🇶
:carousel_horse:	🎠
:carp_streamer:	🎏
:carpentry_saw:	🪚
:carrot:	🥕
:cartwheeling:	🤸
:castle:	🏰
:cat:	🐱
:cat2:	🐈
:cat_face:	🐱
:cat_with_tears_of_joy:	😹
:cat_with_wry_smile:	😼
:cayman_islands:	🇰🇾
:cd:	💿
:central_african_republic:	🇨🇫
:ceuta_melilla:	🇪🇦
:chad:	🇹🇩
:chains:	⛓️
:chair:	🪑
:champagne:	🍾
:champagne_glass:	🥂
:chart:	💹
:chart_decreasing:	📉
:chart_increasing:	📈
:chart_increasing_with_yen:	💹
:chart_with_downwards_trend:	📉
:chart_with_upwards_trend:	📈
:check_box_with_check:	☑
:check_mark:	✔
:check_mark_button:	✅
:checkered_flag:	🏁
:cheese:	🧀
:cheese_wedge:	🧀
:chequered_flag:	🏁
:cherries:	🍒
:cherry_blossom:	🌸
:chess_pawn:	♟️
:chestnut:	🌰
:chicken:	🐔
:child:	🧒
:child_tone1:	🧒🏻
:child_tone2:	🧒🏼
:child_tone3:	🧒🏽
:child_tone4:	🧒🏾
:child_tone5:	🧒🏿
:children_crossing:	🚸
:chile:	🇨🇱
:chipmunk:	🐿️
:chocolate_bar:	🍫
:chopsticks:	🥢
:christmas_island:	🇨🇽
:christmas_tree:	🎄
:church:	⛪
:cigarette:	🚬
:cinema:	🎦
:circled_M:	Ⓜ
:circus_tent:	🎪
:city_dusk:	🌆
:city_sunrise:	🌇
:city_sunset:	🌆
:cityscape:	🏙️
:cityscape_at_dusk:	🌆
:cl:	🆑
:clamp:	🗜
:clap:	👏
:clap_tone1:	👏🏻
:clap_tone2:	👏🏼
:clap_tone3:	👏🏽
:clap_tone4:	👏🏾
:clap_tone5:	👏🏿
:clapper:	🎬
:clapper_board:	🎬
:clapping_hands:	👏
:classical_building:	🏛️
:climbing:	🧗
:climbing_man:	🧗‍♂️
:climbing_woman:	🧗‍♀️
:clinking_beer_mugs:	🍻
:clinking_glasses:	🥂
:clipboard:	📋
:clipperton_island:	🇨🇵
:clock:	🕰
:clock1:	🕐
:clock10:	🕙
:clock1030:	🕥
:clock11:	🕚
:clock1130:	🕦
:clock12:	🕛
:clock1230:	🕧
:clock130:	🕜
:clock2:	🕑
:clock230:	🕝
:clock3:	🕒
:clock330:	🕞
:clock4:	🕓
:clock430:	🕟
:clock5:	🕔
:clock530:	🕠
:clock6:	🕕
:clock630:	🕡
:clock7:	🕖
:clock730:	🕢
:clock8:	🕗
:clock830:	🕣
:clock9:	🕘
:clock930:	🕤
:clockwise_vertical_arrows:	🔃
:closed_book:	📕
:closed_lock_with_key:	🔐
:closed_mailbox_with_lowered_flag:	📪
:closed_mailbox_with_raised_flag:	📫
:closed_umbrella:	🌂
:cloud:	☁️
:cloud_lightning:	🌩
:cloud_rain:	🌧
:cloud_snow:	🌨
:cloud_tornado:	🌪
:cloud_with_lightning:	🌩
:cloud_with_lightning_and_rain:	⛈
:cloud_with_rain:	🌧
:cloud_with_snow:	🌨
:clown:	🤡
:clown_face:	🤡
:club_suit:	♣
:clubs:	♣️
:clutch_bag:	👝
:cn:	🇨🇳
:coat:	🧥
:cockroach:	🪳
:cocktail:	🍸
:cocktail_glass:	🍸
:coconut:	🥥
